"cid_hex","glyph","texname"
"u/21d4","⇔","Leftrightarrow"
"u/21d5","⇕","Updownarrow"
"u/21da","⇚","Lleftarrow"
"u/21db","⇛","Rrightarrow"
"u/21dd","⇝","rightsquigarrow"
"u/21f5","⇵","DownArrowUpArrow"
"u/2200","∀","forall"
"u/2201","∁","complement"
"u/2202","∂","partial"
"u/2203","∃","exists"
"u/2204","∄","nexists"
"u/2205","∅","varnothing"
"u/2207","∇","nabla"
"u/2208","∈","in"
"u/2209","∉","notin"
"u/220b","∋","ni"
"u/220c","∌","notni"
"u/220f","∏","prod"
"u/2210","∐","coprod"
"u/2211","∑","sum"
"u/2212","−",""
"u/2213","∓","mp"
"u/2214","∔","dotplus"
"u/2216","∖","setminus"
"u/2217","∗","_ast"
"u/2218","∘","circ"
"u/2219","∙","bullet"
"u/221a","√","surd"
"u/221d","∝","propto"
"u/221e","∞","infty"
